Class Name,Objects,Shallow Heap
1
User2,15575957,249215312
User,15575631,249210096
java.lang.Object[],876,124694096
byte[],6818,319616
java.lang.String,6736,161664
char[],6,33016
java.util.HashMap$Node,999,31968
java.util.concurrent.ConcurrentHashMap$Node,910,29120
int[],463,28384
java.util.HashMap$Node[],257,23952
java.util.concurrent.ConcurrentHashMap$Node[],17,19024
java.util.HashMap,258,12384
jdk.internal.math.FDBigInteger,341,10912
java.lang.module.ModuleDescriptor$Exports,362,8688
java.lang.Class,458,8368
java.lang.Long,256,6144
java.util.ImmutableCollections$Set12,248,5952
java.net.URI,62,4960
java.lang.module.ModuleDescriptor$Requires,132,4224
java.lang.Short,256,4096
java.lang.Integer,256,4096
java.lang.Byte,256,4096
java.lang.module.ModuleDescriptor,62,3968
jdk.internal.module.ModuleReferenceImpl,62,3472
java.util.ImmutableCollections$SetN,137,3288
java.lang.Module,68,3264
java.util.HashSet,195,3120
java.util.concurrent.ConcurrentHashMap,39,2496
java.lang.Character,128,2048
jdk.internal.loader.BuiltinClassLoader$LoadedModule,61,1952
jdk.internal.module.SystemModuleFinders$2,62,1488
java.lang.module.ResolvedModule,62,1488
jdk.internal.module.ServicesCatalog$ServiceProvider,62,1488
java.lang.module.ModuleDescriptor$Provides,60,1440
jdk.internal.math.FDBigInteger[],1,1376
long[],5,1320
java.util.ImmutableCollections$List12,50,1200
java.lang.Object,70,1120
java.lang.Long[],1,1040
java.lang.Byte[],1,1040
java.lang.Short[],1,1040
java.lang.Integer[],1,1040
jdk.internal.module.SystemModuleFinders$3,60,960
java.io.ObjectStreamField,24,960
java.lang.Thread,7,784
java.util.concurrent.CopyOnWriteArrayList,30,720
java.util.jar.Attributes$Name,26,624
sun.util.locale.BaseLocale,19,608
java.util.Locale,19,608
java.lang.Character[],1,528
java.lang.OutOfMemoryError,12,480
java.security.AccessControlContext,10,400
java.util.ImmutableCollections$ListN,14,336
short[],4,320
java.io.ObjectStreamField[],8,240
java.util.Hashtable$Entry,7,224
java.util.ArrayList,9,216
java.security.ProtectionDomain,5,200
java.util.WeakHashMap$Entry,5,200
java.util.ImmutableCollections$MapN,5,160
java.security.CodeSource,4,160
java.lang.module.ModuleDescriptor$Requires$Modifier,6,144
java.util.Hashtable,3,144
java.lang.ThreadGroup,3,144
jdk.internal.loader.NativeLibraries,4,128
java.lang.ref.ReferenceQueue,4,128
java.lang.String[],4,128
java.util.Hashtable$Entry[],3,128
java.net.URL,2,128
java.io.FileDescriptor,3,120
java.nio.HeapByteBuffer,2,112
java.lang.invoke.MethodHandle[],2,112
java.lang.ref.Reference$ReferenceHandler,1,112
jdk.internal.misc.InnocuousThread,1,112
java.lang.ref.Finalizer$FinalizerThread,1,112
java.lang.ref.ReferenceQueue$Lock,6,96
java.lang.module.ModuleDescriptor$Opens,4,96
java.lang.Thread[],3,96
sun.nio.cs.StreamEncoder,2,96
java.io.PrintStream,2,96
sun.nio.cs.UTF_8$Encoder,2,96
jdk.internal.loader.ClassLoaders$PlatformClassLoader,1,96
sun.util.locale.BaseLocale[],1,96
jdk.internal.loader.ClassLoaders$AppClassLoader,1,96
jdk.internal.loader.ClassLoaders$BootClassLoader,1,96
java.security.Principal[],5,80
java.security.ProtectionDomain$Key,5,80
java.lang.module.Configuration,2,80
java.lang.OutOfMemoryError[],2,80
java.lang.ModuleLayer,2,80
java.io.BufferedWriter,2,80
java.util.WeakHashMap$Entry[],1,80
jdk.internal.misc.Signal,3,72
java.lang.ClassLoader,1,72
java.lang.invoke.MethodHandles$Lookup,2,64
java.lang.ref.ReferenceQueue$Null,2,64
java.util.HexFormat,2,64
java.io.BufferedOutputStream,2,64
java.io.FileOutputStream,2,64
java.util.Properties,1,56
jdk.internal.util.Preconditions$4,3,48
java.nio.charset.CodingErrorAction,3,48
jdk.internal.loader.ClassLoaderValue,3,48
jdk.internal.module.ServicesCatalog,3,48
java.io.File$PathStatus,2,48
java.util.concurrent.atomic.AtomicLong,2,48
jdk.internal.misc.Signal$NativeHandler,2,48
java.io.OutputStreamWriter,2,48
java.security.ProtectionDomain[],2,48
java.lang.NullPointerException,1,48
java.util.WeakHashMap,1,48
jdk.internal.ref.CleanerImpl$PhantomCleanableRef,1,48
java.lang.VirtualMachineError,1,40
jdk.internal.ref.CleanerImpl$CleanerCleanable,1,40
java.lang.ArithmeticException,1,40
java.io.BufferedInputStream,1,40
jdk.internal.loader.URLClassPath,1,40
java.lang.ThreadLocal,2,32
java.lang.StackTraceElement[],2,32
java.nio.ByteOrder,2,32
java.lang.Boolean,2,32
java.lang.Class[],2,32
java.util.concurrent.atomic.AtomicInteger,2,32
java.io.FileInputStream,1,32
jdk.internal.module.ServicesCatalog[],1,32
java.io.UnixFileSystem,1,32
java.util.Random,1,32
jdk.internal.module.ArchivedModuleGraph,1,32
java.lang.ThreadGroup[],1,32
sun.security.util.LazyCodeSourcePermissionCollection,1,32
java.lang.module.ModuleDescriptor$Version,1,32
java.io.File,1,32
java.security.Permissions,1,32
jdk.internal.loader.URLClassPath$FileLoader,1,32
java.util.Collections$UnmodifiableMap,1,32
java.lang.Module$ArchivedData,1,32
java.lang.module.ModuleDescriptor$Requires$Modifier[],1,32
jdk.internal.loader.ArchivedClassLoaders,1,32
java.security.BasicPermissionCollection,1,32
java.util.jar.Manifest[],1,24
java.lang.StringBuilder,1,24
jdk.internal.module.SystemModuleFinders$SystemModuleFinder,1,24
java.lang.NamedPackage,1,24
java.net.URL[],1,24
jdk.internal.ref.CleanerImpl,1,24
jdk.internal.module.ModuleHashes,1,24
java.io.File$PathStatus[],1,24
java.util.ArrayDeque,1,24
java.lang.RuntimePermission,1,24
java.util.Collections$SetFromMap,1,24
java.util.concurrent.ConcurrentHashMap$KeySetView,1,24
sun.nio.cs.StandardCharsets,1,24
sun.nio.cs.UTF_8,1,24
java.util.Collections$EmptyMap,1,24
java.security.ProtectionDomain$JavaSecurityAccessImpl,1,16
java.security.cert.Certificate[],1,16
jdk.internal.misc.Unsafe,1,16
java.nio.Buffer$1,1,16
jdk.internal.util.Preconditions$2,1,16
jdk.internal.util.Preconditions$3,1,16
jdk.internal.util.Preconditions$1,1,16
java.security.SecureClassLoader$CodeSourceKey,1,16
java.util.Optional,1,16
java.io.FileDescriptor$1,1,16
java.lang.CharacterDataLatin1,1,16
java.lang.System$2,1,16
java.lang.ref.Cleaner,1,16
java.lang.Throwable[],1,16
java.lang.module.ModuleDescriptor$1,1,16
jdk.internal.module.ModuleLoaderMap$Mapper,1,16
java.lang.String$CaseInsensitiveComparator,1,16
jdk.internal.misc.ScopedMemoryAccess,1,16
java.lang.ref.Cleaner$1,1,16
java.net.URI$1,1,16
jdk.internal.reflect.ReflectionFactory,1,16
java.lang.Runtime,1,16
jdk.internal.module.ArchivedBootLayer,1,16
java.util.Collections$EmptySet,1,16
java.util.Collections$EmptyList,1,16
java.net.URL$3,1,16
jdk.internal.module.ModuleTarget,1,16
java.lang.invoke.StringConcatFactory$3,1,16
java.lang.invoke.StringConcatFactory$2,1,16
java.lang.invoke.StringConcatFactory$1,1,16
jdk.internal.module.ModulePatcher,1,16
java.lang.reflect.ReflectAccess,1,16
java.lang.ref.Reference$1,1,16
java.util.HashMap$EntrySet,1,16
java.lang.Terminator$1,1,16
java.lang.invoke.MemberName$Factory,1,16
sun.net.www.protocol.file.Handler,1,16
java.net.URL$DefaultFactory,1,16
java.util.WeakHashMap$KeySet,1,16
java.security.cert.Certificate,0,0
java.util.concurrent.ConcurrentHashMap$Segment[],0,0
java.lang.RuntimeException,0,0
jdk.internal.module.ModuleBootstrap,0,0
jdk.internal.ref.CleanerFactory$1,0,0
jdk.internal.access.SharedSecrets,0,0
java.security.AccessController,0,0
jdk.internal.util.ArraysSupport,0,0
java.lang.invoke.DirectMethodHandle,0,0
java.lang.StackWalker$StackFrame,0,0
java.lang.AssertionStatusDirectives,0,0
java.lang.Byte$ByteCache,0,0
java.lang.Enum,0,0
java.util.Collections,0,0
java.lang.Integer$IntegerCache,0,0
java.util.ImmutableCollections$AbstractImmutableMap,0,0
java.util.Dictionary,0,0
java.lang.invoke.MutableCallSite,0,0
jdk.internal.access.JavaLangRefAccess,0,0
java.lang.ref.FinalReference,0,0
java.io.FilterOutputStream,0,0
java.lang.constant.Constable,0,0
java.util.Comparator,0,0
java.util.function.Function,0,0
java.nio.charset.spi.CharsetProvider,0,0
java.lang.invoke.MethodHandles,0,0
java.util.concurrent.ConcurrentMap,0,0
java.security.PrivilegedExceptionAction,0,0
java.util.HashMap$TreeNode,0,0
java.nio.charset.Charset,0,0
jdk.internal.module.Modules,0,0
java.lang.ref.Finalizer,0,0
java.lang.Cloneable,0,0
java.lang.Thread$UncaughtExceptionHandler,0,0
java.lang.invoke.ResolvedMethodName,0,0
java.util.function.Supplier,0,0
java.util.Map,0,0
java.net.URLStreamHandlerFactory,0,0
sun.launcher.LauncherHelper,0,0
java.lang.invoke.MethodHandleNatives$CallSiteContext,0,0
java.util.ImmutableCollections,0,0
java.util.HashMap$HashIterator,0,0
java.lang.LinkageError,0,0
jdk.internal.reflect.ConstructorAccessor,0,0
java.lang.ref.Reference,0,0
jdk.internal.loader.URLClassPath$FileLoader$1,0,0
java.lang.Record,0,0
java.io.FileCleanable,0,0
java.lang.reflect.Type,0,0
java.lang.ref.Cleaner$Cleanable,0,0
java.lang.ReflectiveOperationException,0,0
jdk.internal.access.JavaLangModuleAccess,0,0
java.util.HashMap$EntryIterator,0,0
java.util.AbstractMap,0,0
java.lang.IllegalArgumentException,0,0
jdk.internal.loader.URLClassPath$3,0,0
java.lang.reflect.Modifier,0,0
java.lang.reflect.AccessibleObject,0,0
